Player,Opp,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,Week
J. Goff DET,vs SEA,30,18,18,292,2,0,0,2,-2,0,0,1,7,1,0,0,4
L. Jackson BAL,vs BUF,28,18,13,156,2,0,0,6,54,1,0,0,0,0,0,1,4
S. Darnold MIN,@ GB,27,28,20,275,3,1,0,7,15,0,0,0,0,0,0,1,4
C. Stroud HOU,vs JAX,26,40,27,345,2,0,0,3,17,0,0,0,0,0,0,0,4
J. Daniels WAS,@ ARI,25,30,26,233,1,1,1,8,47,1,0,0,0,0,0,0,4
G. Smith SEA,@ DET,22,56,38,395,1,1,0,5,38,0,0,0,0,0,0,0,4
J. Burrow CIN,@ CAR,20,31,22,232,2,1,0,1,10,0,0,0,0,0,0,0,4
D. Prescott DAL,@ NYG,20,27,22,221,2,0,0,2,-1,0,0,0,0,0,0,0,4
J. Hurts PHI,@ TB,19,30,18,158,1,0,0,8,20,1,0,0,0,0,0,1,4
A. Dalton CAR,vs CIN,18,40,25,220,2,1,0,3,9,0,0,0,0,0,0,0,4
J. Flacco IND,vs PIT,18,26,16,168,2,0,0,2,3,0,0,0,0,0,0,0,4
T. Lawrence JAX,@ HOU,18,33,18,169,2,0,0,3,5,0,0,0,-5,0,0,0,4
B. Purdy SF,vs NE,16,27,15,288,1,1,0,5,11,0,0,0,0,0,0,0,4
P. Mahomes KC,@ LAC,14,29,19,245,1,1,0,5,12,0,0,0,0,0,0,0,4
D. Watson CLE,@ LV,14,32,24,176,1,1,0,8,32,0,0,0,0,0,0,0,4
J. Herbert LAC,vs KC,13,27,16,179,1,0,0,3,0,0,0,0,0,0,0,0,4
C. Williams CHI,vs LA,13,23,17,157,1,0,0,5,12,0,0,0,0,0,0,0,4
T. Huntley MIA,vs TEN,12,22,14,96,0,0,0,8,40,1,0,0,0,0,0,1,4
K. Murray ARI,vs WAS,11,22,16,142,1,0,0,1,3,0,0,0,0,0,0,0,4
A. Rodgers NYJ,vs DEN,11,42,24,225,0,0,0,5,26,0,0,0,0,0,0,0,4
J. Brissett NE,@ SF,9,32,19,168,1,1,0,2,3,0,0,0,0,0,0,1,4
D. Jones MIN,@ NYG,9,40,29,281,0,1,0,4,3,0,0,0,0,0,0,0,4
J. Allen BUF,@ BAL,8,29,16,180,0,0,0,5,21,0,0,0,0,0,0,1,4
B. Nix DEN,@ NYJ,8,25,12,60,1,0,0,5,3,0,0,0,0,0,0,0,4
D. Carr NO,@ ATL,7,36,28,239,0,1,0,3,5,0,0,0,0,0,0,0,4
K. Cousins ATL,vs NO,7,35,21,238,0,1,0,0,0,0,0,0,0,0,0,0,4
G. Minshew LV,vs CLE,5,24,14,130,0,0,0,2,-2,0,0,0,0,0,0,0,4
